;Place;Score;Comment;
/c/church/outdoor 91;church/outdoor ;0;;
/c/classroom 92;classroom ;0;;
/c/clean_room 93;clean_room ;0;;
/c/cliff 94;cliff ;1;Nature;
/c/closet 95;closet ;-1;Over Consumption;
/c/clothing_store 96;clothing_store ;-3;Over Consumption;
/c/coast 97;coast ;0;;
/c/cockpit 98;cockpit ;-4;High speed travel;
/c/coffee_shop 99;coffee_shop ;-1;;
/c/computer_room 100;computer_room ;-1;High tech;
/c/conference_center 101;conference_center ;-1;Travel;
/c/conference_room 102;conference_room ;0;;
/c/construction_site 103;construction_site ;-3;Buildings;
/c/corn_field 104;corn_field ;0;;
/c/corral 105;corral ;2;;
/c/corridor 106;corridor ;0;;
/c/cottage 107;cottage ;-1;Big houses;
/c/courthouse 108;courthouse ;0;;
/c/courtyard 109;courtyard ;-2;Travel;
/c/creek 110;creek ;1;Nature;
/c/crevasse 111;crevasse ;0;;
/c/crosswalk 112;crosswalk ;0;;
/d/dam 113;dam ;2;Clean Energy;
/d/delicatessen 114;delicatessen ;0;;
/d/department_store 115;department_store ;-4;Over Consumption;
/d/desert/sand 116;desert/sand ;-2;Travel;
/d/desert/vegetation 117;desert/vegetation ;0;;
/d/desert_road 118;desert_road ;-3;High speed travel;
/d/diner/outdoor 119;diner/outdoor ;0;;
/d/dining_hall 120;dining_hall ;0;;
/d/dining_room 121;dining_room ;0;;
/d/discotheque 122;discotheque ;0;;
/d/doorway/outdoor 123;doorway/outdoor ;0;;
/d/dorm_room 124;dorm_room ;0;;
/d/downtown 125;downtown ;-1;Travel;
/d/dressing_room 126;dressing_room ;0;;
/d/driveway 127;driveway ;-2;High speed travel;
/d/drugstore 128;drugstore ;0;;
/e/elevator/door 129;elevator/door ;0;;
/e/elevator_lobby 130;elevator_lobby ;0;;
/e/elevator_shaft 131;elevator_shaft ;0;;
/e/embassy 132;embassy ;0;;
/e/engine_room 133;engine_room ;-3;;
/e/entrance_hall 134;entrance_hall ;0;;
/e/escalator/indoor 135;escalator/indoor ;0;;
/e/excavation 136;excavation ;-3;Construction;
/f/fabric_store 137;fabric_store ;-1;;
/f/farm 138;farm ;2;;
/f/fastfood_restaurant 139;fastfood_restaurant ;-2;;
/f/field/cultivated 140;field/cultivated ;1;;
/f/field/wild 141;field/wild ;2;;
/f/field_road 142;field_road ;-2;;
/f/fire_escape 143;fire_escape ;0;;
/f/fire_station 144;fire_station ;0;;
/f/fishpond 145;fishpond ;0;;
/f/flea_market/indoor 146;flea_market/indoor ;1;Circular economy;
/f/florist_shop/indoor 147;florist_shop/indoor ;0;;
/f/food_court 148;food_court ;0;;
/f/football_field 149;football_field ;1;;
/f/forest/broadleaf 150;forest/broadleaf ;2;;
/f/forest_path 151;forest_path ;2;;
/f/forest_road 152;forest_road ;-1;;
/f/formal_garden 153;formal_garden ;0;;
/f/fountain 154;fountain ;0;;
/g/galley 155;galley ;0;;
/g/garage/indoor 156;garage/indoor ;-2;;
/g/garage/outdoor 157;garage/outdoor ;-2;;
/g/gas_station 158;gas_station ;-3;;
/g/gazebo/exterior 159;gazebo/exterior ;0;;
/g/general_store/indoor 160;general_store/indoor ;-1;;
/g/general_store/outdoor 161;general_store/outdoor ;-1;;
/g/gift_shop 162;gift_shop ;-2;Over Consumption;
/g/glacier 163;glacier ;1;Nature;
/g/golf_course 164;golf_course ;-1;;
/g/greenhouse/indoor 165;greenhouse/indoor ;-1;Plastic ;
/g/greenhouse/outdoor 166;greenhouse/outdoor ;-1;Plastic ;
/g/grotto 167;grotto ;0;;
/g/gymnasium/indoor 168;gymnasium/indoor ;0;;
/h/hangar/indoor 169;hangar/indoor ;-1;High speed travel;
/h/hangar/outdoor 170;hangar/outdoor ;-1;High speed travel;
/h/harbor 171;harbor ;0;;
/h/hardware_store 172;hardware_store ;-1;High Tech;
/h/hayfield 173;hayfield ;2;;
/h/heliport 174;heliport ;-4;High speed travel;
/h/highway 175;highway ;-4;High speed travel;
/h/home_office 176;home_office ;2;;
/h/home_theater 177;home_theater ;0;;
/h/hospital 178;hospital ;0;;
/h/hospital_room 179;hospital_room ;0;;
/h/hot_spring 180;hot_spring ;-1;Travel;
/h/hotel/outdoor 181;hotel/outdoor ;-1;Travel;
/h/hotel_room 182;hotel_room ;-1;Travel;
/h/house 183;house ;0;;
/h/hunting_lodge/outdoor 184;hunting_lodge/outdoor ;0;;
/i/ice_cream_parlor 185;ice_cream_parlor ;0;;
/i/ice_floe 186;ice_floe ;2;Nature;
/i/ice_shelf 187;ice_shelf ;2;Nature;
/i/ice_skating_rink/indoor 188;ice_skating_rink/indoor ;-1;;
/i/ice_skating_rink/outdoor 189;ice_skating_rink/outdoor ;-1;;
/i/iceberg 190;iceberg ;2;;
/i/igloo 191;igloo ;2;;
/i/industrial_area 192;industrial_area ;-3;Over Consumption;
/i/inn/outdoor 193;inn/outdoor ;-1;Big houses;
/i/islet 194;islet ;-1;Travel;
/j/jacuzzi/indoor 195;jacuzzi/indoor ;-2;;
/j/jail_cell 196;jail_cell ;0;;
/j/japanese_garden 197;japanese_garden ;-1;Travel;
/j/jewelry_shop 198;jewelry_shop ;-1;Over Consumption;
/j/junkyard 199;junkyard ;3;;
/k/kasbah 200;kasbah ;-2;Travel;
/k/kennel/outdoor 201;kennel/outdoor ;0;;
/k/kindergarden_classroom 202;kindergarden_classroom ;0;;
/k/kitchen 203;kitchen ;0;;
/l/lagoon 204;lagoon ;-2;Travel;
/l/lake/natural 205;lake/natural ;2;Nature;
/l/landfill 206;landfill ;3;;
/l/landing_deck 207;landing_deck ;-4;High speed travel;
/l/laundromat 208;laundromat ;0;;
/l/lawn 209;lawn ;-1;;
/l/lecture_room 210;lecture_room ;1;;
/l/legislative_chamber 211;legislative_chamber ;0;;
/l/library/indoor 212;library/indoor ;1;;
/l/library/outdoor 213;library/outdoor ;1;;
/l/lighthouse 214;lighthouse ;0;;
/l/living_room 215;living_room ;0;;
/l/loading_dock 216;loading_dock ;-1;;
/l/lobby 217;lobby ;0;;
/l/lock_chamber 218;lock_chamber ;0;;
/l/locker_room 219;locker_room ;0;;
/m/mansion 220;mansion ;-2;Big houses;
/m/manufactured_home 221;manufactured_home ;0;;
/m/market/indoor 222;market/indoor ;-1;Over Consumption;
/m/market/outdoor 223;market/outdoor ;-1;Over Consumption;
/m/marsh 224;marsh ;2;Nature;
/m/martial_arts_gym 225;martial_arts_gym ;0;;
/m/mausoleum 226;mausoleum ;-1;Travel;
/m/medina 227;medina ;-2;Travel;
/m/mezzanine 228;mezzanine ;0;;
/m/moat/water 229;moat/water ;0;;
/m/mosque/outdoor 230;mosque/outdoor ;0;;
/m/motel 231;motel ;-1;Travel;
/m/mountain 232;mountain ;1;Nature;
/m/mountain_path 233;mountain_path ;1;Nature;
/m/mountain_snowy 234;mountain_snowy ;1;Nature;
/m/movie_theater/indoor 235;movie_theater/indoor ;0;;
/m/museum/indoor 236;museum/indoor ;0;;
/m/museum/outdoor 237;museum/outdoor ;0;;
/m/music_studio 238;music_studio ;0;;
/n/natural_history_museum 239;natural_history_museum ;1;;
/n/nursery 240;nursery ;0;;
/n/nursing_home 241;nursing_home ;0;;
/o/oast_house 242;oast_house ;0;;
/o/ocean 243;ocean ;1;;
/o/office 244;office ;0;;
/o/office_building 245;office_building ;-1;;
/o/office_cubicles 246;office_cubicles ;0;;
/o/oilrig 247;oilrig ;-4;;
/o/operating_room 248;operating_room ;0;;
/o/orchard 249;orchard ;1;;
/o/orchestra_pit 250;orchestra_pit ;0;;
/p/pagoda 251;pagoda ;-1;Travel;
/p/palace 252;palace ;-2;Big Houses;
/p/pantry 253;pantry ;0;;
/p/park 254;park ;1;;
/p/parking_garage/indoor 255;parking_garage/indoor ;-2;;
/p/parking_garage/outdoor 256;parking_garage/outdoor ;-2;;
/p/parking_lot 257;parking_lot ;-3;;
/p/pasture 258;pasture ;1;;
/p/patio 259;patio ;0;;
/p/pavilion 260;pavilion ;0;;
/p/pet_shop 261;pet_shop ;0;;
/p/pharmacy 262;pharmacy ;0;;
/p/phone_booth 263;phone_booth ;0;;
/p/physics_laboratory 264;physics_laboratory ;-1;;
/p/picnic_area 265;picnic_area ;1;;
/p/pier 266;pier ;0;;
/p/pizzeria 267;pizzeria ;0;;
/p/playground 268;playground ;0;;
/p/playroom 269;playroom ;0;;
/p/plaza 270;plaza ;0;;
/p/pond 271;pond ;1;;
/p/porch 272;porch ;0;;
/p/promenade 273;promenade ;0;;
/p/pub/indoor 274;pub/indoor ;0;;
/r/racecourse 275;racecourse ;-1;Animal protection;
/r/raceway 276;raceway ;-3;;
/r/raft 277;raft ;0;;
/r/railroad_track 278;railroad_track ;3;Public transportation;
/r/rainforest 279;rainforest ;-1;Travel;
/r/reception 280;reception ;0;;
/r/recreation_room 281;recreation_room ;0;;
/r/repair_shop 282;repair_shop ;5;;
/r/residential_neighborhood 283;residential_neighborhood ;-2;;
/r/restaurant 284;restaurant ;0;;
/r/restaurant_kitchen 285;restaurant_kitchen ;0;;
/r/restaurant_patio 286;restaurant_patio ;0;;
/r/rice_paddy 287;rice_paddy ;-1;Travel;
/r/river 288;river ;1;Nature;
/r/rock_arch 289;rock_arch ;1;Nature;
/r/roof_garden 290;roof_garden ;0;;
/r/rope_bridge 291;rope_bridge ;-1;Travel;
/r/ruin 292;ruin ;1;Connection to past;
/r/runway 293;runway ;-3;;
/s/sandbox 294;sandbox ;0;;
/s/sauna 295;sauna ;-1;;
/s/schoolhouse 296;schoolhouse ;0;;
/s/science_museum 297;science_museum ;1;;
/s/server_room 298;server_room ;0;;
/s/shed 299;shed ;1;;
/s/shoe_shop 300;shoe_shop ;-1;Over Consumption;
/s/shopfront 301;shopfront ;0;;
/s/shopping_mall/indoor 302;shopping_mall/indoor ;-3;Over Consumption;
/s/shower 303;shower ;0;;
/s/ski_resort 304;ski_resort ;-2;;
/s/ski_slope 305;ski_slope ;-2;;
/s/sky 306;sky ;-1;;
/s/skyscraper 307;skyscraper ;-2;;
/s/slum 308;slum ;1;;
/s/snowfield 309;snowfield ;0;;
/s/soccer_field 310;soccer_field ;0;;
/s/stable 311;stable ;0;;
/s/stadium/baseball 312;stadium/baseball ;0;;
/s/stadium/football 313;stadium/football ;0;;
/s/stadium/soccer 314;stadium/soccer ;0;;
/s/stage/indoor 315;stage/indoor ;0;;
/s/stage/outdoor 316;stage/outdoor ;0;;
/s/staircase 317;staircase ;0;;
/s/storage_room 318;storage_room ;-1;Over Consumption;
/s/street 319;street ;0;;
/s/subway_station/platform 320;subway_station/platform ;2;Public transportation;
/s/supermarket 321;supermarket ;-1;Over Consumption;
/s/sushi_bar 322;sushi_bar ;-1;Fish consumption;
/s/swamp 323;swamp ;4;;
/s/swimming_hole 324;swimming_hole ;0;;
/s/swimming_pool/indoor 325;swimming_pool/indoor ;-2;;
/s/swimming_pool/outdoor 326;swimming_pool/outdoor ;-2;;
/s/synagogue/outdoor 327;synagogue/outdoor ;0;;
/t/television_room 328;television_room ;0;;
/t/television_studio 329;television_studio ;0;;
/t/temple/asia 330;temple/asia ;-2;Travel;
/t/throne_room 331;throne_room ;0;;
/t/ticket_booth 332;ticket_booth ;0;;
/t/topiary_garden 333;topiary_garden ;-1;;
/t/tower 334;tower ;0;;
/t/toyshop 335;toyshop ;-2;Over Consumption;
/t/train_interior 336;train_interior ;2;Public transportation;
/t/train_station/platform 337;train_station/platform ;3;Public transportation;
/t/tree_farm 338;tree_farm ;0;;
/t/tree_house 339;tree_house ;0;;
/t/trench 340;trench ;0;;
/t/tundra 341;tundra ;1;;
/u/underwater/ocean_deep 342;underwater/ocean_deep ;2;Nature;
/u/utility_room 343;utility_room ;0;;
/v/valley 344;valley ;1;;
/v/vegetable_garden 345;vegetable_garden ;2;;
/v/veterinarians_office 346;veterinarians_office ;0;;
/v/viaduct 347;viaduct ;0;;
/v/village 348;village ;0;;
/v/vineyard 349;vineyard ;1;Local tourism;
/v/volcano 350;volcano ;0;;
/v/volleyball_court/outdoor 351;volleyball_court/outdoor ;0;;
/w/waiting_room 352;waiting_room ;0;;
/w/water_park 353;water_park ;-2;;
/w/water_tower 354;water_tower ;0;;
/w/waterfall 355;waterfall ;1;Nature;
/w/watering_hole 356;watering_hole ;2;Nature;
/w/wave 357;wave ;1;Nature;
/w/wet_bar 358;wet_bar ;0;;
/w/wheat_field 359;wheat_field ;1;;
/w/wind_farm 360;wind_farm ;5;;
/w/windmill 361;windmill ;4;;
/y/yard 362;yard ;0;;
/y/youth_hostel 363;youth_hostel ;0;;
/z/zen_garden 364                                                                                                                                                                                                                                                                                                                                               places365_train_standard.txt                                                                        000664  052173  050311  00332052507 12715433543 014635  0                                                                                                    ustar 00                                                                000000  000000                                                                                                                                                                         /a/airfield/00000001.jpg 0;zen_garden 364                                                                                                                                                                                                                                                                                                                                               places365_train_standard.txt                                                                        000664  052173  050311  00332052507 12715433543 014635  0                                                                                                    ustar 00                                                                000000  000000                                                                                                                                                                         /a/airfield/00000001.jp;-1;travel;
